CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Homeless_Unaccompanied_Youth_Under_25,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_25,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_25,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_25,Unsheltered_Homeless_Unaccompanied_Youth_Under_25,Homeless_Unaccompanied_Youth_Under_18,Sheltered_ES_Homeless_Unaccompanied_Youth_Under_18,Sheltered_TH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_SH_Homeless_Unaccompanied_Youth_Under_18,Sheltered_Total_Homeless_Unaccompanied_Youth_Under_18,Unsheltered_Homeless_Unaccompanied_Youth_Under_18,Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_ES_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_TH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_SH_Homeless_Unaccompanied_Youth_Age_18_24,Sheltered_Total_Homeless_Unaccompanied_Youth_Age_18_24,Unsheltered_Homeless_Unaccompanied_Youth_Age_18_24,Homeless_Parenting_Youth_Under_25,Sheltered_ES_Homeless_Parenting_Youth_Under_25,Sheltered_TH_Homeless_Parenting_Youth_Under_25,Sheltered_Total_Homeless_Parenting_Youth_Under_25,Unsheltered_Homeless_Parenting_Youth_Under_25,Homeless_Parenting_Youth_Under_18,Sheltered_ES_Homeless_Parenting_Youth_Under_18,Sheltered_TH_Homeless_Parenting_Youth_Under_18,Sheltered_Total_Homeless_Parenting_Youth_Under_18,Unsheltered_Homeless_Parenting_Youth_Under_18,Homeless_Parenting_Youth_Age_18_24,Sheltered_ES_Homeless_Parenting_Youth_Age_18_24,Sheltered_TH_Homeless_Parenting_Youth_Age_18_24,Sheltered_Total_Homeless_Parenting_Youth_Age_18_24,Unsheltered_Homeless_Parenting_Youth_Age_18_24,Homeless_Children_of_Parenting_Youth,Sheltered_ES_Homeless_Children_of_Parenting_Youth,Sheltered_TH_Homeless_Children_of_Parenting_Youth,Sheltered_Total_Homeless_Children_of_Parenting_Youth,Unsheltered_Homeless_Children_of_Parenting_Youth,Count_Year
OR-500,"Eugene, Springfield/Lane County CoC",,1529,442,84,0,526,1003,1260,342,31,0,373,887,269,100,53,153,116,84,33,17,50,34,640,143,0,143,497,568,111,0,111,457,72,32,32,40,164,25,19,0,44,120,116,28,10,0,38,78,9,6,0,0,6,3,107,22,10,0,32,75,4,2,1,3,1,0,0,0,0,0,4,2,1,3,1,4,2,1,3,1,2017
OR-501,"Portland, Gresham/Multnomah County CoC",Major Cities,4019,1804,547,0,2351,1668,3394,1298,505,0,1803,1591,625,506,42,548,77,193,150,15,165,28,1384,467,0,467,917,1312,411,0,411,901,72,56,56,16,448,141,124,0,265,183,314,116,66,0,182,132,13,4,1,0,5,8,301,112,65,0,177,124,19,9,6,15,4,0,0,0,0,0,19,9,6,15,4,21,12,5,17,4,2018
OR-501,"Portland, Gresham/Multnomah County CoC",,4177,1752,757,0,2509,1668,3520,1341,588,0,1929,1591,657,411,169,580,77,216,126,62,188,28,1290,373,0,373,917,1240,339,0,339,901,50,34,34,16,445,135,127,0,262,183,304,109,63,0,172,132,14,3,3,0,6,8,290,106,60,0,166,124,35,15,16,31,4,0,0,0,0,0,35,15,16,31,4,39,20,15,35,4,2017
OR-502,"Medford, Ashland/Jackson County CoC",Suburban CoCs,732,240,163,0,403,329,624,192,115,0,307,317,108,48,48,96,12,39,14,21,35,4,259,67,0,67,192,245,63,0,63,182,14,4,4,10,116,33,49,0,82,34,64,19,18,0,37,27,15,9,6,0,15,0,49,10,12,0,22,27,11,1,10,11,0,0,0,0,0,0,11,1,10,11,0,13,1,12,13,0,2018
OR-502,"Medford, Ashland/Jackson County CoC",,633,213,156,0,369,264,525,189,101,0,290,235,108,24,55,79,29,37,8,21,29,8,170,59,0,59,111,163,57,0,57,106,7,2,2,5,95,13,52,0,65,30,62,27,14,0,41,21,17,15,0,0,15,2,45,12,14,0,26,19,15,0,14,14,1,0,0,0,0,0,15,0,14,14,1,14,0,13,13,1,2017
OR-503,Central Oregon CoC,Rural CoCs,787,191,41,0,232,555,588,161,37,0,198,390,199,30,4,34,165,62,11,2,13,49,172,23,0,23,149,139,19,0,19,120,33,4,4,29,60,17,7,0,24,36,98,25,17,0,42,56,15,5,3,0,8,7,83,20,14,0,34,49,5,2,2,4,1,0,0,0,0,0,5,2,2,4,1,5,2,2,4,1,2018
OR-503,Central Oregon CoC,,778,181,49,0,230,548,494,141,43,0,184,310,284,40,6,46,238,76,12,3,15,61,246,30,0,30,216,187,25,0,25,162,59,5,5,54,83,16,10,0,26,57,68,22,8,0,30,38,7,2,2,0,4,3,61,20,6,0,26,35,8,0,3,3,5,0,0,0,0,0,8,0,3,3,5,9,0,3,3,6,2017
OR-505,Oregon Balance of State CoC,Rural CoCs,6392,1042,816,0,1858,4534,4419,820,423,0,1243,3176,1973,222,393,615,1358,672,82,129,211,461,1503,278,0,278,1225,1369,257,0,257,1112,134,21,21,113,474,73,55,0,128,346,641,91,77,0,168,473,243,35,15,0,50,193,398,56,62,0,118,280,53,12,16,28,25,0,0,0,0,0,53,12,16,28,25,58,12,21,33,25,2018
OR-505,Oregon Balance of State CoC,,5795,1036,990,0,2026,3769,3902,787,560,0,1347,2555,1893,249,430,679,1214,575,83,125,208,367,737,224,0,224,513,668,200,0,200,468,69,24,24,45,379,79,60,0,139,240,847,107,92,0,199,648,460,33,25,0,58,402,387,74,67,0,141,246,44,10,13,23,21,2,1,1,2,0,42,9,12,21,21,61,10,21,31,30,2017
OR-506,"Hillsboro, Beaverton/Washington County CoC",Suburban CoCs,522,65,90,8,163,359,407,13,70,8,91,316,115,52,20,72,43,39,18,8,26,13,166,7,6,13,153,149,1,6,7,142,17,6,6,11,71,0,47,0,47,24,45,10,9,1,20,25,6,4,1,0,5,1,39,6,8,1,15,24,6,0,3,3,3,0,0,0,0,0,6,0,3,3,3,5,0,3,3,2,2018
OR-506,"Hillsboro, Beaverton/Washington County CoC",,544,56,112,7,175,369,348,10,69,7,86,262,196,46,43,89,107,56,15,15,30,26,150,3,7,10,140,143,0,7,7,136,7,3,3,4,58,1,39,0,40,18,45,6,9,0,15,30,8,5,2,0,7,1,37,1,7,0,8,29,8,4,4,8,0,0,0,0,0,0,8,4,4,8,0,6,2,4,6,0,2017
OR-507,Clackamas County CoC,Suburban CoCs,383,3,34,0,37,346,317,0,16,0,16,301,66,3,18,21,45,27,1,7,8,19,125,0,0,0,125,122,0,0,0,122,3,0,0,3,21,0,1,0,1,20,15,0,7,0,7,8,0,0,0,0,0,0,15,0,7,0,7,8,9,0,9,9,0,1,0,1,1,0,8,0,8,8,0,10,0,10,10,0,2018
OR-507,Clackamas County CoC,,497,87,64,0,151,346,385,73,11,0,84,301,112,14,53,67,45,39,4,16,20,19,154,29,0,29,125,151,29,0,29,122,3,0,0,3,27,5,2,0,7,20,20,7,5,0,12,8,0,0,0,0,0,0,20,7,5,0,12,8,11,1,10,11,0,0,0,0,0,0,11,1,10,11,0,11,1,10,11,0,2017
PA-500,Philadelphia CoC,Major Cities,5788,3420,1050,235,4705,1083,3589,1939,332,235,2506,1083,2199,1481,718,2199,0,744,493,251,744,0,943,334,182,516,427,909,300,182,482,427,34,34,34,0,239,74,90,39,203,36,300,153,29,22,204,96,36,19,0,0,19,17,264,134,29,22,185,79,183,99,84,183,0,0,0,0,0,0,183,99,84,183,0,271,148,123,271,0,2018
PA-500,Philadelphia CoC,,5693,3275,1378,84,4737,956,3341,1875,430,84,2389,952,2352,1400,948,2348,4,825,478,346,824,1,898,340,84,424,474,877,319,84,403,474,21,21,21,0,244,57,143,4,204,40,297,165,46,0,211,86,26,22,0,0,22,4,271,143,46,0,189,82,242,109,131,240,2,0,0,0,0,0,242,109,131,240,2,357,157,198,355,2,2017
PA-501,Harrisburg/Dauphin County CoC,Suburban CoCs,445,263,125,22,410,35,260,180,23,22,225,35,185,83,102,185,0,64,30,34,64,0,47,16,22,38,9,47,16,22,38,9,0,0,0,0,39,17,11,5,33,6,13,11,1,0,12,1,0,0,0,0,0,0,13,11,1,0,12,1,13,3,10,13,0,0,0,0,0,0,13,3,10,13,0,20,3,17,20,0,2018
PA-501,Harrisburg/Dauphin County CoC,,460,238,130,22,390,70,309,182,35,22,239,70,151,56,95,151,0,52,21,31,52,0,45,10,22,32,13,40,5,22,27,13,5,5,5,0,39,10,16,3,29,10,9,5,0,1,6,3,0,0,0,0,0,0,9,5,0,1,6,3,13,5,8,13,0,0,0,0,0,0,13,5,8,13,0,21,8,13,21,0,2017
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Suburban CoCs,414,290,71,0,361,53,234,153,28,0,181,53,180,137,43,180,0,58,40,18,58,0,33,14,0,14,19,33,14,0,14,19,0,0,0,0,6,6,0,0,6,0,18,8,7,0,15,3,0,0,0,0,0,0,18,8,7,0,15,3,6,3,3,6,0,0,0,0,0,0,6,3,3,6,0,5,2,3,5,0,2018
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",,453,311,102,0,413,40,251,170,41,0,211,40,202,141,61,202,0,64,41,23,64,0,26,16,0,16,10,26,16,0,16,10,0,0,0,0,11,8,2,0,10,1,19,12,6,0,18,1,0,0,0,0,0,0,19,12,6,0,18,1,15,5,10,15,0,0,0,0,0,0,15,5,10,15,0,15,3,12,15,0,2017
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Suburban CoCs,165,78,81,0,159,6,95,59,30,0,89,6,70,19,51,70,0,24,7,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,9,0,15,7,8,0,15,0,0,0,0,0,0,0,15,7,8,0,15,0,3,0,3,3,0,0,0,0,0,0,3,0,3,3,0,7,0,7,7,0,2018
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",,174,82,89,0,171,3,82,44,35,0,79,3,92,38,54,92,0,29,11,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,11,0,14,1,15,9,6,0,15,0,0,0,0,0,0,0,15,9,6,0,15,0,4,1,3,4,0,0,0,0,0,0,4,1,3,4,0,9,2,7,9,0,2017
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Suburban CoCs,291,226,45,0,271,20,141,111,10,0,121,20,150,115,35,150,0,44,32,12,44,0,20,17,0,17,3,20,17,0,17,3,0,0,0,0,8,7,1,0,8,0,5,5,0,0,5,0,0,0,0,0,0,0,5,5,0,0,5,0,5,4,1,5,0,0,0,0,0,0,5,4,1,5,0,6,5,1,6,0,2018
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",,310,192,99,0,291,19,131,98,14,0,112,19,179,94,85,179,0,56,32,24,56,0,40,35,0,35,5,37,32,0,32,5,3,3,3,0,13,9,0,0,9,4,9,9,0,0,9,0,0,0,0,0,0,0,9,9,0,0,9,0,16,11,5,16,0,0,0,0,0,0,16,11,5,16,0,22,14,8,22,0,2017
PA-505,Chester County CoC,Suburban CoCs,579,266,300,0,566,13,365,109,243,0,352,13,214,157,57,214,0,69,56,13,69,0,11,11,0,11,0,11,11,0,11,0,0,0,0,0,206,15,191,0,206,0,6,4,2,0,6,0,0,0,0,0,0,0,6,4,2,0,6,0,7,7,0,7,0,0,0,0,0,0,7,7,0,7,0,7,7,0,7,0,2018
PA-505,Chester County CoC,,578,260,294,0,554,24,387,137,228,0,365,22,191,123,66,189,2,65,41,23,64,1,12,12,0,12,0,12,12,0,12,0,0,0,0,0,224,17,206,0,223,1,10,8,2,0,10,0,0,0,0,0,0,0,10,8,2,0,10,0,5,4,0,4,1,0,0,0,0,0,5,4,0,4,1,6,5,0,5,1,2017
PA-506,Reading/Berks County CoC,Suburban CoCs,562,305,246,0,551,11,406,239,156,0,395,11,156,66,90,156,0,51,23,28,51,0,5,4,0,4,1,5,4,0,4,1,0,0,0,0,39,21,18,0,39,0,21,13,7,0,20,1,0,0,0,0,0,0,21,13,7,0,20,1,14,5,9,14,0,0,0,0,0,0,14,5,9,14,0,25,9,16,25,0,2018
PA-506,Reading/Berks County CoC,,534,290,231,0,521,13,366,216,137,0,353,13,168,74,94,168,0,52,22,30,52,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,38,21,17,0,38,0,29,18,10,0,28,1,0,0,0,0,0,0,29,18,10,0,28,1,12,4,8,12,0,0,0,0,0,0,12,4,8,12,0,18,4,14,18,0,2017
PA-508,Scranton/Lackawanna County CoC,Suburban CoCs,159,76,70,8,154,5,100,56,31,8,95,5,59,20,39,59,0,19,6,13,19,0,12,10,1,11,1,12,10,1,11,1,0,0,0,0,33,7,26,0,33,0,8,4,4,0,8,0,0,0,0,0,0,0,8,4,4,0,8,0,6,2,4,6,0,0,0,0,0,0,6,2,4,6,0,11,5,6,11,0,2018
PA-508,Scranton/Lackawanna County CoC,,197,56,123,4,183,14,98,42,38,4,84,14,99,14,85,99,0,32,5,27,32,0,13,3,4,7,6,13,3,4,7,6,0,0,0,0,26,1,25,0,26,0,9,2,5,0,7,2,0,0,0,0,0,0,9,2,5,0,7,2,9,1,8,9,0,0,0,0,0,0,9,1,8,9,0,12,1,11,12,0,2017
PA-509,Eastern Pennsylvania CoC,Rural CoCs,1998,1032,620,0,1652,346,1108,535,247,0,782,326,890,497,373,870,20,288,155,127,282,6,91,67,0,67,24,73,53,0,53,20,18,14,14,4,97,36,49,0,85,12,143,72,41,0,113,30,14,11,2,0,13,1,129,61,39,0,100,29,63,28,35,63,0,0,0,0,0,0,63,28,35,63,0,95,44,51,95,0,2018
PA-509,Eastern Pennsylvania CoC,,2170,1004,761,0,1765,405,1209,556,273,0,829,380,961,448,488,936,25,306,134,165,299,7,156,104,0,104,52,148,96,0,96,52,8,8,8,0,82,28,38,0,66,16,142,73,45,0,118,24,18,17,0,0,17,1,124,56,45,0,101,23,64,17,47,64,0,0,0,0,0,0,64,17,47,64,0,92,26,66,92,0,2017
PA-510,Lancaster City & County CoC,Suburban CoCs,406,248,142,0,390,16,226,125,85,0,210,16,180,123,57,180,0,56,38,18,56,0,22,12,0,12,10,14,4,0,4,10,8,8,8,0,32,4,26,0,30,2,15,12,3,0,15,0,0,0,0,0,0,0,15,12,3,0,15,0,8,6,2,8,0,0,0,0,0,0,8,6,2,8,0,16,13,3,16,0,2018
PA-510,Lancaster City & County CoC,,321,181,114,0,295,26,180,88,66,0,154,26,141,93,48,141,0,50,33,17,50,0,6,4,0,4,2,6,4,0,4,2,0,0,0,0,23,9,14,0,23,0,17,9,6,0,15,2,0,0,0,0,0,0,17,9,6,0,15,2,10,8,2,10,0,0,0,0,0,0,10,8,2,10,0,14,11,3,14,0,2017
PA-511,"Bristol, Bensalem/Bucks County CoC",Suburban CoCs,397,155,223,0,378,19,194,105,70,0,175,19,203,50,153,203,0,68,15,53,68,0,25,22,0,22,3,25,22,0,22,3,0,0,0,0,13,8,2,0,10,3,13,7,4,0,11,2,0,0,0,0,0,0,13,7,4,0,11,2,13,4,9,13,0,0,0,0,0,0,13,4,9,13,0,18,7,11,18,0,2018
PA-511,"Bristol, Bensalem/Bucks County CoC",,511,139,323,0,462,49,198,77,72,0,149,49,313,62,251,313,0,100,20,80,100,0,27,20,0,20,7,27,20,0,20,7,0,0,0,0,12,6,3,0,9,3,27,8,12,0,20,7,1,1,0,0,1,0,26,7,12,0,19,7,31,5,26,31,0,0,0,0,0,0,31,5,26,31,0,43,8,35,43,0,2017
PA-512,York City & County CoC,Suburban CoCs,324,177,114,0,291,33,167,102,35,0,137,30,157,75,79,154,3,47,20,26,46,1,13,8,0,8,5,13,8,0,8,5,0,0,0,0,11,5,4,0,9,2,21,15,5,0,20,1,0,0,0,0,0,0,21,15,5,0,20,1,7,6,1,7,0,0,0,0,0,0,7,6,1,7,0,7,6,1,7,0,2018
PA-512,York City & County CoC,,288,116,127,0,243,45,134,50,46,0,96,38,154,66,81,147,7,45,20,23,43,2,12,7,0,7,5,12,7,0,7,5,0,0,0,0,9,4,4,0,8,1,16,3,2,0,5,11,8,0,0,0,0,8,8,3,2,0,5,3,3,1,2,3,0,0,0,0,0,0,3,1,2,3,0,5,2,3,5,0,2017
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",Suburban CoCs,783,575,146,6,727,56,509,323,124,6,453,56,274,252,22,274,0,85,81,4,85,0,117,91,6,97,20,95,69,6,75,20,22,22,22,0,115,43,63,6,112,3,36,31,3,0,34,2,0,0,0,0,0,0,36,31,3,0,34,2,6,6,0,6,0,0,0,0,0,0,6,6,0,6,0,15,15,0,15,0,2018
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",,1145,622,448,22,1092,53,756,406,275,22,703,53,389,216,173,389,0,120,67,53,120,0,131,91,21,112,19,117,77,21,98,19,14,14,14,0,102,46,45,4,95,7,77,27,48,0,75,2,0,0,0,0,0,0,77,27,48,0,75,2,16,8,8,16,0,0,0,0,0,0,16,8,8,16,0,30,11,19,30,0,2017
PA-601,Western Pennsylvania CoC,Rural CoCs,748,435,266,9,710,38,471,294,137,9,440,31,277,141,129,270,7,89,46,41,87,2,46,37,0,37,9,46,37,0,37,9,0,0,0,0,102,31,66,0,97,5,54,28,18,1,47,7,0,0,0,0,0,0,54,28,18,1,47,7,12,3,8,11,1,0,0,0,0,0,12,3,8,11,1,13,3,9,12,1,2018
PA-601,Western Pennsylvania CoC,,837,451,285,38,774,63,531,291,151,38,480,51,306,160,134,294,12,98,49,45,94,4,29,17,4,21,8,29,17,4,21,8,0,0,0,0,94,35,53,4,92,2,49,27,12,1,40,9,5,5,0,0,5,0,44,22,12,1,35,9,15,4,10,14,1,1,0,0,0,1,14,4,10,14,0,21,10,10,20,1,2017
PA-603,Beaver County CoC,Suburban CoCs,117,79,32,0,111,6,67,43,18,0,61,6,50,36,14,50,0,15,11,4,15,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,4,3,0,0,3,1,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,2018
PA-603,Beaver County CoC,,98,66,22,0,88,10,34,14,16,0,30,4,64,52,6,58,6,18,15,2,17,1,12,5,0,5,7,4,3,0,3,1,8,2,2,6,2,1,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,4,3,1,4,0,2017
PA-605,Erie City & County CoC,Suburban CoCs,336,238,94,0,332,4,231,166,61,0,227,4,105,72,33,105,0,39,26,13,39,0,20,17,0,17,3,12,9,0,9,3,8,8,8,0,29,15,12,0,27,2,14,12,2,0,14,0,0,0,0,0,0,0,14,12,2,0,14,0,12,4,8,12,0,0,0,0,0,0,12,4,8,12,0,16,4,12,16,0,2018
PA-605,Erie City & County CoC,,369,241,120,0,361,8,264,187,69,0,256,8,105,54,51,105,0,34,18,16,34,0,29,29,0,29,0,22,22,0,22,0,7,7,7,0,29,18,9,0,27,2,30,23,7,0,30,0,2,1,1,0,2,0,28,22,6,0,28,0,7,2,5,7,0,0,0,0,0,0,7,2,5,7,0,12,6,6,12,0,2017
PR-502,Puerto Rico Balance of Commonwealth CoC,Suburban CoCs,1643,153,277,12,442,1201,1527,127,216,12,355,1172,116,26,61,87,29,37,8,22,30,7,662,54,12,66,596,656,50,12,62,594,6,4,4,2,47,1,4,0,5,42,46,2,7,0,9,37,0,0,0,0,0,0,46,2,7,0,9,37,7,1,4,5,2,0,0,0,0,0,7,1,4,5,2,8,3,4,7,1,2018
PR-502,Puerto Rico Balance of Commonwealth CoC,,1883,173,487,22,682,1201,1678,145,339,22,506,1172,205,28,148,176,29,70,10,53,63,7,655,37,22,59,596,653,37,22,59,594,2,0,0,2,46,1,3,0,4,42,65,10,18,0,28,37,0,0,0,0,0,0,65,10,18,0,28,37,17,8,7,15,2,0,0,0,0,0,17,8,7,15,2,20,9,10,19,1,2017
PR-503,South-Southeast Puerto Rico CoC,Suburban CoCs,1539,189,35,4,228,1311,1394,186,35,4,225,1169,145,3,0,3,142,38,1,0,1,37,429,86,3,89,340,418,86,3,89,329,11,0,0,11,35,2,11,0,13,22,58,6,0,0,6,52,5,4,0,0,4,1,53,2,0,0,2,51,6,0,0,0,6,0,0,0,0,0,6,0,0,0,6,6,0,0,0,6,2018
PR-503,South-Southeast Puerto Rico CoC,,1642,223,104,4,331,1311,1463,211,79,4,294,1169,179,12,25,37,142,48,4,7,11,37,423,79,4,83,340,412,79,4,83,329,11,0,0,11,48,4,22,0,26,22,70,10,8,0,18,52,3,2,0,0,2,1,67,8,8,0,16,51,8,1,1,2,6,0,0,0,0,0,8,1,1,2,6,10,3,1,4,6,2017
RI-500,Rhode Island Statewide CoC,Suburban CoCs,1101,739,311,0,1050,51,747,557,141,0,698,49,354,182,170,352,2,121,65,55,120,1,264,247,0,247,17,233,216,0,216,17,31,31,31,0,103,37,63,0,100,3,39,32,6,0,38,1,0,0,0,0,0,0,39,32,6,0,38,1,16,8,8,16,0,0,0,0,0,0,16,8,8,16,0,16,6,10,16,0,2018
RI-500,Rhode Island Statewide CoC,,1180,807,304,0,1111,69,802,620,113,0,733,69,378,187,191,378,0,106,54,52,106,0,240,215,0,215,25,240,215,0,215,25,0,0,0,0,95,31,61,0,92,3,49,36,5,0,41,8,1,1,0,0,1,0,48,35,5,0,40,8,6,2,4,6,0,0,0,0,0,0,6,2,4,6,0,10,2,8,10,0,2017
SC-500,Charleston/Low Country CoC,Suburban CoCs,451,254,80,3,337,114,357,174,77,3,254,103,94,80,3,83,11,27,23,1,24,3,86,52,1,53,33,86,52,1,53,33,0,0,0,0,119,24,79,3,106,13,27,7,1,0,8,19,0,0,0,0,0,0,27,7,1,0,8,19,3,2,0,2,1,0,0,0,0,0,3,2,0,2,1,5,3,0,3,2,2018
SC-500,Charleston/Low Country CoC,,425,99,122,0,221,204,393,93,106,0,199,194,32,6,16,22,10,9,2,4,6,3,108,21,0,21,87,108,21,0,21,87,0,0,0,0,127,8,84,0,92,35,12,2,0,0,2,10,0,0,0,0,0,0,12,2,0,0,2,10,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2017
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",Suburban CoCs,1185,705,132,12,849,336,916,538,74,12,624,292,269,167,58,225,44,85,52,20,72,13,181,85,10,95,86,178,82,10,92,86,3,3,3,0,79,42,14,1,57,22,56,33,11,0,44,12,4,2,1,0,3,1,52,31,10,0,41,11,10,6,3,9,1,0,0,0,0,0,10,6,3,9,1,9,5,3,8,1,2018
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",,1317,681,238,13,932,385,898,458,82,13,553,345,419,223,156,379,40,134,74,48,122,12,230,63,11,74,156,222,58,11,69,153,8,5,5,3,73,35,11,1,47,26,53,28,8,0,36,17,0,0,0,0,0,0,53,28,8,0,36,17,19,12,6,18,1,0,0,0,0,0,19,12,6,18,1,30,18,11,29,1,2017
SC-502,Columbia/Midlands CoC,Suburban CoCs,1205,726,279,0,1005,200,954,620,146,0,766,188,251,106,133,239,12,84,37,43,80,4,248,166,0,166,82,241,166,0,166,75,7,0,0,7,146,44,80,0,124,22,80,45,22,0,67,13,4,3,1,0,4,0,76,42,21,0,63,13,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,12,7,5,12,0,2018
SC-502,Columbia/Midlands CoC,,1200,585,308,0,893,307,939,488,162,0,650,289,261,97,146,243,18,89,32,52,84,5,295,119,0,119,176,284,119,0,119,165,11,0,0,11,153,33,111,0,144,9,61,27,17,0,44,17,6,2,3,0,5,1,55,25,14,0,39,16,10,3,7,10,0,0,0,0,0,0,10,3,7,10,0,13,5,8,13,0,2017
SC-503,"Myrtle Beach, Sumter City & County CoC",Rural CoCs,1092,312,86,0,398,694,855,240,84,0,324,531,237,72,2,74,163,77,23,1,24,53,171,38,0,38,133,166,33,0,33,133,5,5,5,0,71,27,6,0,33,38,74,19,32,0,51,23,4,2,2,0,4,0,70,17,30,0,47,23,16,4,1,5,11,0,0,0,0,0,16,4,1,5,11,15,4,1,5,10,2018
SC-503,"Myrtle Beach, Sumter City & County CoC",,974,254,115,0,369,605,666,182,83,0,265,401,308,72,32,104,204,93,29,13,42,51,191,22,0,22,169,178,17,0,17,161,13,5,5,8,127,32,6,0,38,89,47,11,15,0,26,21,2,0,1,0,1,1,45,11,14,0,25,20,14,1,6,7,7,0,0,0,0,0,14,1,6,7,7,19,2,8,10,9,2017
SD-500,South Dakota Statewide CoC,Rural CoCs,1159,707,167,0,874,285,836,476,122,0,598,238,323,231,45,276,47,105,77,14,91,14,190,134,0,134,56,115,67,0,67,48,75,67,67,8,110,30,59,0,89,21,61,30,12,0,42,19,4,2,2,0,4,0,57,28,10,0,38,19,12,6,3,9,3,1,1,0,1,0,11,5,3,8,3,18,7,8,15,3,2018
SD-500,South Dakota Statewide CoC,,943,590,182,0,772,171,611,343,109,0,452,159,332,247,73,320,12,124,98,23,121,3,144,112,0,112,32,101,81,0,81,20,43,31,31,12,130,48,75,0,123,7,66,35,18,0,53,13,19,8,10,0,18,1,47,27,8,0,35,12,14,11,3,14,0,2,2,0,2,0,12,9,3,12,0,18,13,5,18,0,2017
TN-500,Chattanooga/Southeast Tennessee CoC,Rural CoCs,623,318,12,0,330,293,498,208,2,0,210,288,125,110,10,120,5,28,24,2,26,2,322,136,0,136,186,310,124,0,124,186,12,12,12,0,56,22,0,0,22,34,13,8,0,0,8,5,0,0,0,0,0,0,13,8,0,0,8,5,10,9,0,9,1,0,0,0,0,0,10,9,0,9,1,15,14,0,14,1,2018
TN-500,Chattanooga/Southeast Tennessee CoC,,576,298,61,0,359,217,452,235,4,0,239,213,124,63,57,120,4,46,22,23,45,1,192,88,0,88,104,189,85,0,85,104,3,3,3,0,54,23,0,0,23,31,17,10,0,0,10,7,0,0,0,0,0,0,17,10,0,0,10,7,5,4,1,5,0,0,0,0,0,0,5,4,1,5,0,6,5,1,6,0,2017
